AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI Version 5.2.606.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x18)
Sampling Interval:,1000 milli-seconds
Profile Start Time:,Feb-27-2026_15-14-53,
Profile Duration:,3600 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
0.,thread0-core-effective-frequency,Frequency,MHz,Thread0-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
2.,thread1-core-effective-frequency,Frequency,MHz,Thread1-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
4.,thread2-core-effective-frequency,Frequency,MHz,Thread2-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
6.,thread3-core-effective-frequency,Frequency,MHz,Thread3-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
8.,thread4-core-effective-frequency,Frequency,MHz,Thread4-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
10.,thread5-core-effective-frequency,Frequency,MHz,Thread5-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
12.,thread6-core-effective-frequency,Frequency,MHz,Thread6-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
14.,thread7-core-effective-frequency,Frequency,MHz,Thread7-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
16.,thread8-core-effective-frequency,Frequency,MHz,Thread8-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
18.,thread9-core-effective-frequency,Frequency,MHz,Thread9-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
20.,thread10-core-effective-frequency,Frequency,MHz,Thread10-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
22.,thread11-core-effective-frequency,Frequency,MHz,Thread11-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
24.,thread12-core-effective-frequency,Frequency,MHz,Thread12-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
26.,thread13-core-effective-frequency,Frequency,MHz,Thread13-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
28.,thread14-core-effective-frequency,Frequency,MHz,Thread14-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
30.,thread15-core-effective-frequency,Frequency,MHz,Thread15-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
32.,thread16-core-effective-frequency,Frequency,MHz,Thread16-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
34.,thread17-core-effective-frequency,Frequency,MHz,Thread17-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
36.,thread18-core-effective-frequency,Frequency,MHz,Thread18-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
38.,thread19-core-effective-frequency,Frequency,MHz,Thread19-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
40.,thread20-core-effective-frequency,Frequency,MHz,Thread20-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
42.,thread21-core-effective-frequency,Frequency,MHz,Thread21-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
44.,thread22-core-effective-frequency,Frequency,MHz,Thread22-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
46.,thread23-core-effective-frequency,Frequency,MHz,Thread23-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.
72.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
74.,core0-power,Power,W,Core0-Average Power reported in Watts.
76.,core1-power,Power,W,Core1-Average Power reported in Watts.
78.,core2-power,Power,W,Core2-Average Power reported in Watts.
80.,core3-power,Power,W,Core3-Average Power reported in Watts.
82.,core4-power,Power,W,Core4-Average Power reported in Watts.
84.,core5-power,Power,W,Core5-Average Power reported in Watts.
86.,core6-power,Power,W,Core6-Average Power reported in Watts.
88.,core7-power,Power,W,Core7-Average Power reported in Watts.
90.,core8-power,Power,W,Core8-Average Power reported in Watts.
92.,core9-power,Power,W,Core9-Average Power reported in Watts.
94.,core10-power,Power,W,Core10-Average Power reported in Watts.
96.,core11-power,Power,W,Core11-Average Power reported in Watts.
98.,socket0-temperature,Temperature,C,Socket0-Package Temperature for the sampling period, reported in Celsius. Temperature reported is with reference to Tclt

PROFILE RECORDS
RecordId,Timestamp,thread0-core-effective-frequency,thread1-core-effective-frequency,thread2-core-effective-frequency,thread3-core-effective-frequency,thread4-core-effective-frequency,thread5-core-effective-frequency,thread6-core-effective-frequency,thread7-core-effective-frequency,thread8-core-effective-frequency,thread9-core-effective-frequency,thread10-core-effective-frequency,thread11-core-effective-frequency,thread12-core-effective-frequency,thread13-core-effective-frequency,thread14-core-effective-frequency,thread15-core-effective-frequency,thread16-core-effective-frequency,thread17-core-effective-frequency,thread18-core-effective-frequency,thread19-core-effective-frequency,thread20-core-effective-frequency,thread21-core-effective-frequency,thread22-core-effective-frequency,thread23-core-effective-frequency,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power,core6-power,core7-power,core8-power,core9-power,core10-power,core11-power,socket0-temperature
1,15:14:54:881, 4728.97, 4716.67, 2231.39, 4741.25, 2156.98, 2197.61, 2309.67, 4912.53, 4828.62, 4866.51, 3168.53, 2266.14, 4759.71, 4795.33, 2287.85, 4343.58, 2224.30, 2208.98, 2296.67, 4876.72, 4719.43, 4384.32, 3204.55, 2295.37,   71.49,    1.37,    1.36,    0.97,    1.17,    0.97,    0.99,    1.06,    3.07,    1.90,    1.42,    1.15,    1.05,   66.25
2,15:14:55:881, 4234.78, 3847.84, 1987.14, 1986.42, 1958.52, 1957.28, 1991.33, 4089.26, 3324.52, 1927.39, 2524.04, 1978.02, 4170.83, 3941.57, 1959.57, 1950.15, 1953.22, 1954.27, 1973.81, 4024.48, 3327.98, 2183.07, 2433.32, 1995.26,   66.54,    1.11,    1.10,    0.89,    0.92,    0.90,    0.91,    0.96,    1.28,    1.12,    0.95,    0.99,    0.96,   65.00
3,15:14:56:881, 4610.57, 4302.10, 1975.40, 4749.64, 1972.96, 1973.37, 1989.33, 4520.52, 3942.68, 1977.74, 2965.07, 1986.97, 4708.24, 4307.38, 1974.18, 4228.99, 1972.01, 1969.69, 1989.28, 4592.22, 3902.13, 1987.83, 2721.23, 1983.99,   67.93,    1.27,    1.23,    0.93,    1.21,    0.93,    0.94,    0.98,    1.49,    1.23,    0.97,    1.06,    0.97,   64.50
4,15:14:57:881, 4857.59, 4915.10, 1966.27, 4700.74, 1966.62, 1966.89, 1954.26, 4218.06, 3692.86, 1984.82, 2830.21, 1949.54, 4934.07, 4942.71, 1965.59, 4002.79, 1975.79, 1966.01, 1949.67, 3837.82, 3584.68, 1936.76, 2405.20, 1948.71,   70.47,    2.21,    2.81,    1.00,    1.25,    1.01,    1.03,    0.96,    1.32,    1.15,    0.95,    1.02,    0.96,   68.75
5,15:14:58:881, 4945.07, 4924.26, 1974.51, 1966.97, 1836.31, 1849.09, 1864.23, 4542.53, 3856.20, 1942.79, 3083.90, 1873.24, 4969.37, 4887.65, 1855.86, 1841.55, 1827.44, 1850.67, 1864.42, 4387.89, 3632.20, 1863.94, 2813.62, 1866.10,   71.99,    3.74,    2.54,    1.02,    1.07,    1.02,    1.04,    0.99,    1.46,    1.24,    0.97,    1.08,    0.99,   71.75
6,15:14:59:881, 4733.39, 4581.45, 1905.86, 1921.38, 1925.80, 1917.08, 1941.34, 4469.02, 3651.11, 1881.30, 2911.52, 1934.35, 4616.59, 4648.98, 1921.51, 1919.73, 1914.31, 1916.19, 1947.71, 4466.75, 3783.59, 1944.45, 2728.21, 1943.37,   67.20,    1.29,    1.29,    0.92,    0.94,    0.92,    0.93,    0.96,    1.47,    1.15,    0.94,    1.02,    0.96,   69.75
7,15:15:0:881, 4302.66, 4168.81, 1971.49, 1983.52, 1968.06, 1972.35, 1869.08, 4283.64, 3758.63, 3559.97, 3801.64, 1871.48, 4385.28, 4232.97, 1964.80, 1981.78, 1968.80, 1974.73, 1868.65, 3814.97, 3616.59, 2166.20, 2967.81, 1869.23,   67.36,    1.12,    1.14,    0.89,    0.90,    0.89,    0.90,    0.98,    1.36,    1.22,    0.99,    1.07,    0.98,   68.00
8,15:15:1:881, 4596.82, 4661.56, 1970.26, 4782.21, 1940.87, 1941.43, 1930.46, 4207.37, 3753.01, 1978.82, 2737.83, 1938.18, 4702.65, 4687.21, 1944.47, 4158.41, 1938.41, 1937.83, 1942.33, 3948.82, 3464.30, 1936.39, 2517.79, 1944.79,   67.27,    1.24,    1.30,    0.93,    1.20,    0.93,    0.94,    0.97,    1.32,    1.18,    0.96,    1.04,    0.97,   66.75
9,15:15:2:881, 4573.46, 4363.34, 1921.29, 1935.83, 1923.56, 1927.60, 1959.03, 4187.33, 3562.97, 2451.12, 2774.74, 1958.65, 4601.04, 4526.17, 1930.65, 1931.65, 1928.55, 1928.35, 1951.15, 4045.58, 3434.13, 2182.01, 3080.65, 1956.08,   66.92,    1.17,    1.18,    0.90,    0.92,    0.90,    0.90,    0.96,    1.30,    1.18,    0.98,    1.03,    0.96,   65.38
10,15:15:3:881, 4395.50, 4242.20, 1967.94, 1984.17, 1969.06, 1973.76, 1874.88, 4255.93, 3586.54, 2505.93, 3171.45, 1867.63, 4387.75, 4291.04, 1969.11, 2145.03, 1966.47, 1977.01, 1870.43, 4083.46, 3123.46, 2306.74, 3066.79, 1855.29,   66.84,    1.14,    1.14,    0.91,    0.92,    0.91,    0.92,    0.97,    1.33,    1.15,    0.99,    1.04,    0.97,   64.25
11,15:15:4:881, 4584.89, 4687.02, 1970.01, 4756.53, 1969.69, 1968.07, 1905.96, 4555.88, 3809.17, 2710.19, 2950.15, 1908.20, 4565.54, 4707.63, 1969.26, 4337.00, 1971.70, 1961.36, 1944.53, 4661.61, 3638.71, 2290.01, 2745.87, 1937.14,   68.06,    1.33,    1.32,    0.95,    1.13,    0.95,    0.96,    0.99,    1.48,    1.26,    1.01,    1.08,    0.98,   63.38
12,15:15:5:881, 4407.91, 4662.00, 1998.89, 1888.93, 1965.56, 1969.82, 1992.28, 4025.56, 3898.03, 2383.45, 2907.21, 1974.60, 4147.10, 4599.73, 1971.25, 1971.97, 1968.00, 1974.39, 1979.21, 4076.01, 4166.16, 2111.27, 3161.57, 1967.44,   66.67,    1.15,    1.20,    0.94,    0.96,    0.95,    0.95,    0.94,    1.22,    1.11,    0.94,    1.00,    0.94,   62.50
13,15:15:6:881, 4551.88, 4650.31, 1977.74, 4770.43, 1970.29, 1969.57, 1990.77, 4519.72, 3543.04, 2325.53, 3055.28, 1990.71, 4469.85, 4629.01, 1967.19, 4089.08, 1969.64, 1970.68, 1991.12, 4621.25, 3315.38, 2124.93, 2927.92, 1991.89,   68.38,    1.22,    1.26,    0.95,    1.17,    0.95,    0.96,    0.97,    1.49,    1.26,    0.98,    1.07,    0.97,   62.25
